"ColorName","ColorId","ColorHex"
"Bico-de-tucano","P027","#FFC645"
"Banana com Açúcar","B137","#F8E4AF"
"Polpa de Melão","B608","#FFDD91"
"Sequilho","C608","#FFD973"
"Pequi","E284","#F9D259"
"Girassol","P284","#FCD03C"
"Pinoli","D020","#F5E4BB"
"Pão de Queijo","C033","#FAE3A4"
"Ambrosia","D028","#F9DA8A"
"Girafa","E027","#FFD86C"
"Enfeite de Jardim","E609","#FFCF52"
"Despertar","A610","#F8EBBB"
"Café da Manhã","B610","#FCE8A2"
"Pitaia Colombiana","C610","#FCE38E"
"Mousse de Maracujá","D610","#FFDE68"
"Papel Perfumado","E610","#FFDC4D"
"Delícia de Milho","P610","#FFD030"
"Sol de Verão","R610","#FFCB36"
"Sonho Feliz","A611","#F4E9AD"
"Diversão","B611","#FFE373"
"Melão Maduro","C611","#FAD84D"
"Amarelo Real","D611","#F9D428"
"Folia de Carnaval","E611","#F7CF2D"
"Pera Doce","A037","#FAE7B1"
"Fios de Ovos","B025","#F6E39C"
"Acácia-mimosa","D026","#FCDF76"
"Pólen","E039","#FDDE5C"
"Suco de Caju","E612","#FFD838"
"Quindim","R292","#FAD117"
"Carinho Especial","A613","#FBE89F"
"Nacho","C038","#F3E2A2"
"Jaca","D027","#FBDE83"
"Lírio-amarelo","D037","#FFD652"
"Brilho Quente","E613","#FFD300"
"Ovos Mexidos","A614","#F7EDB0"
"Malemolência","B614","#F9EA9F"
"Idade de Ouro","C037","#FBE284"
"Tesouro","D614","#FFE65F"
"Sorbet de Manga","E614","#FBDC45"
"Andar com Fé","P614","#FFDC2F"
"Manteiga","A615","#F7EFB9"
"Refresco de Carambola","B615","#F6EDAC"
"Guarda-sol","C615","#FBEA94"
"Manhã Gloriosa","D615","#FFE571"
"Dia de Sorte","E615","#FFE24F"
"Chutney de Manga","P615","#F8D32B"
"Jasmim-amarelo","C293","#F9ED9E"
"Maracujá","C026","#F8E385"
"Baba de Moça","D039","#F8DF67"
"Canário-da-terra","P039","#FCDA3D"
"Bem-te-vi","A042","#EFEBBB"
"Laranja-lima","B052","#E8E6A8"
"Vitamina de Abacate","C617","#E2DC91"
"Chá de Limão","A618","#EBEF9F"
"Pera","B618","#E7EA85"
"Limão Ardente","C618","#E6E96E"
"Limonada Gelada","A619","#E5EBB0"
"Verde-equilíbrio","B619","#E3E8A3"
"Alface Americana","C619","#DBE490"
"Cítrico","D619","#D3D56A"
"Brilho de Grama","A620","#E5E8A9"
"Jardim de Primavera","B620","#E3EDA3"
"Limoncello","C620","#D3E189"
"Uva Moscatel","A044","#DBE69F"
"Refresco de Limão","D299","#D3E083"
"Periquito","E299","#CBDA74"
"Absinto","B043","#D3E6A5"
"Verde-paraíso","D043","#C1DF93"
"Vela Verde","A623","#CEE8A2"
"Paraíso Tropical","H056","#CCE9B7"
"Colônia de Alecrim","C306","#C2E2AD"
"Suco de Clorofila","C050","#AFDF9A"
"Luminoso","A625","#BEEAB6"
"Ramalhete","B625","#B2E6AB"
"Verde-pátina","A049","#C2E5C0"
"Folclore","B049","#B0DCB1"
"Drinque Refrescante","B313","#CAEBCD"
"Lago Frias","C048","#B5E1B3"
"Sereia","A628","#B0E5C3"
"Igarapé","B314","#C1E9D7"
"Rio Bonito","C059","#ADE0C8"
"Batida de Coco","D017","#D1E4D5"
"Sereia do Mar","B630","#BBE7CF"
"Manta de Bebê","A063","#AEDFD2"
"Verde-cristalino","Z052","#B9E7DC"
"Fruta-pão","B062","#BEE3D3"
"Equilíbrio","C062","#B0E1D2"
"Limonada Suíça","A066","#D4E4DA"
"Verde-boêmia","B315","#B1D6C0"
"Capim-santo","C053","#E7E6C0"
"Creme de Abacate","D053","#DADAA9"
"Menta Fresca","A637","#E6EDCC"
"Grappa","B637","#DCE5B6"
"Flor do Antúrio","C637","#CEDDA0"
"Margem de Rio","B300","#DADDC2"
"Folha de Uva","C300","#CCD1AE"
"Verde-supremo","B050","#D0E7BB"
"Fábula","C047","#D4E2BF"
"Brotinho","C057","#D6E1C5"
"Chá de Menta","A048","#D7E8D4"
"Verde-preguiça","C058","#CADEC4"
"Regata","P024","#CFDBC3"
"Verde-lavado","B055","#D9E1CE"
"Verde-surfe","C068","#C5DFD6"
"Verde-lunar","A648","#BFE6DC"
"Marca d'Água","A326","#C3E2E2"
"Mar Calmo","C069","#BFD7D5"
