"ColorName","ColorId","ColorHex"
"Ilha da Gipoia","SW6470","#bfd2c9"
"Cachoeira do Jalapão","SW6471","#a8c1b7"
"Decoração Vintage","SW9050","#94b2a6"
"Sempre Chique","SW6472","#7ea298"
"Filtro dos Sonhos","SW6473","#5f887d"
"Mar Agitado","SW6474","#476f65"
"Verdes Vales","SW6475","#124a42"
"Água das Marés","SW6477","#c3d7d3"
"Aquático","SW6478","#b4ccc9"
"Água Verde","SW9051","#a3c0bd"
"Chuvisco","SW6479","#8caeab"
"Lagoa Nova","SW6480","#518682"
"Enseada Verde","SW6481","#2e6864"
"Cabo-verde","SW6482","#01554f"
"Cantando na Chuva","SW6484","#bedbd8"
"Gota de Chuva","SW6485","#9ec6c6"
"Azul da Alegria","SW9052","#90bdbd"
"Delícia de Piscina","SW6486","#7bb1b2"
"Valsa Vienense","SW6487","#5c9598"
"Floresta Mágica","SW6488","#3c797d"
"Kitesurf","SW6489","#016367"
"Ar Livre","SW6491","#c7dfe0"
"Corrente de Ar","SW6492","#b0d2d6"
"Água Fria","SW9053","#9fc5cc"
"Força das Marés","SW6493","#84b4be"
"À Beira do Lago","SW6494","#5b96a2"
"Azul Petar","SW6495","#217786"
"Melodia do Mar","SW6496","#015a6b"
"Nascente Límpida","SW9054","#c7d8db"
"Maré Baixa","SW9055","#afc7cd"
"Seda Francesa","SW9056","#9fbbc3"
"Sobrado Francês","SW9057","#88abb4"
"Enseada Secreta","SW9058","#68909d"
"Poeira Estelar","SW9059","#427584"
"Caminho das Estrelas","SW9060","#175a6c"
"Azul Informática","SW6498","#c5dce0"
"Riacho Sinuoso","SW6499","#adccd3"
"Certeza","SW9061","#9bbfc9"
"Sinfonia Marítima","SW6500","#83afbc"
"Energia Vital","SW6501","#5b92a2"
"Lago Azul","SW6502","#2f778b"
"Baía de Paranaguá","SW6503","#015d75"
"Atmosférico","SW6505","#c2dae0"
"Sossego Sublime","SW6506","#a9c9d7"
"Azul Neblina","SW6507","#85b0c4"
"Pena Azul","SW9062","#6f9db3"
"Azul Porto Seguro","SW6508","#5389a1"
"Baía de Todos-os-santos","SW6509","#22657f"
"Azul Manto Sagrado","SW6510","#01455e"
"Folia de Reis","SW6959","#016ea7"
"Sangue Azul","SW6966","#015086"
"Dança da Catira","SW6967","#225288"
"Catavento","SW6971","#3c4c80"
"Vestido Púrpura","SW6983","#514c7e"
"Mantra","SW6982","#665385"
"Roxo Apaixonado","SW6981","#795484"
"Paraíso Azul","SW6799","#c3dfe8"
"Rito de Casamento","SW6800","#b0d6e6"
"Teto da Varanda","SW9063","#9bc8de"
"Presente Azul","SW6801","#7db5d3"
"Jacarandá-mimoso","SW6802","#5a9ec0"
"Danúbio Azul","SW6803","#2377a2"
"Realeza Azul","SW6804","#094c73"
"Terra do Gelo","SW6526","#cbd8e1"
"Proteção Azul","SW6527","#b2c8d8"
"Cosmo","SW6528","#8ea9c2"
"Notas de Blues","SW9064","#7c9ab5"
"Azul Sentimental","SW6529","#6b8ca9"
"Ventos Uivantes","SW6530","#4c6b8a"
"Índigo","SW6531","#284a70"
"Ritmo Azul","SW6806","#ccdbe5"
"Azul Delicado","SW6807","#b8cddd"
"Azul Intuitivo","SW6808","#97b3d0"
"Lobélia Azul","SW6809","#7498be"
"Petúnia Roxa","SW9065","#6487b0"
"Alfazema do Campo","SW6810","#4e739f"
"Noite Ilustrada","SW6811","#164576"
"Azul Fantasia","SW6813","#d8dde6"
"Tirar o Fôlego","SW6814","#c7d1e2"
